epidemiological_week,date,last_available_confirmed_j,new_confirmed_j,last_available_deaths_j,new_deaths_j,last_available_death_rate_j,last_available_confirmed_p,new_confirmed_p,last_available_deaths_p,new_deaths_p,last_available_death_rate_p
202133,18-08-2021,17171,0,390,0,0.0227,30108,0,500,0,0.0166
202133,17-08-2021,17171,5,390,1,0.0227,30108,20,500,0,0.0166
202133,16-08-2021,17166,0,389,0,0.0227,30088,-3,500,0,0.0166
202133,15-08-2021,17166,24,389,0,0.0227,30091,1,500,0,0.0166
202132,14-08-2021,17142,0,389,0,0.0227,30090,49,500,0,0.0166
202132,13-08-2021,17142,215,389,0,0.0227,30041,53,500,0,0.0166
202132,12-08-2021,16927,0,389,0,0.023,29988,60,500,0,0.0167
202132,11-08-2021,16927,0,389,0,0.023,29928,49,500,2,0.0167
202132,10-08-2021,16927,0,389,0,0.023,29879,51,498,0,0.0167
202132,09-08-2021,16927,0,389,0,0.023,29828,0,498,0,0.0167
202132,08-08-2021,16927,0,389,0,0.023,29828,23,498,1,0.0167
202131,07-08-2021,16927,0,389,0,0.023,29805,43,497,1,0.0167
202131,06-08-2021,16927,0,389,0,0.023,29762,14,496,3,0.0167
202131,05-08-2021,16927,0,389,0,0.023,29748,48,493,0,0.0166
202131,04-08-2021,16927,0,389,0,0.023,29700,37,493,1,0.0166
202131,03-08-2021,16927,0,389,0,0.023,29663,42,492,0,0.0166
202131,02-08-2021,16927,0,389,0,0.023,29621,41,492,0,0.0166
202131,01-08-2021,16927,0,389,0,0.023,29580,17,492,0,0.0166
202130,31-07-2021,16927,0,389,0,0.023,29563,37,492,0,0.0166
202130,30-07-2021,16927,0,389,0,0.023,29526,62,492,1,0.0167
202130,29-07-2021,16927,60,389,3,0.023,29464,0,491,0,0.0167
202130,28-07-2021,16867,0,386,0,0.0229,29464,7,491,0,0.0167
202130,27-07-2021,16867,0,386,0,0.0229,29457,34,491,1,0.0167
202130,26-07-2021,16867,0,386,0,0.0229,29423,4,490,0,0.0167
202130,25-07-2021,16867,70,386,3,0.0229,29419,16,490,0,0.0167
202129,24-07-2021,16797,0,383,0,0.0228,29403,19,490,0,0.0167
202129,23-07-2021,16797,0,383,0,0.0228,29384,17,490,0,0.0167
202129,22-07-2021,16797,40,383,0,0.0228,29367,19,490,2,0.0167
202129,21-07-2021,16757,23,383,0,0.0229,29348,45,488,2,0.0166
202129,20-07-2021,16734,10,383,0,0.0229,29303,17,486,1,0.0166
202129,19-07-2021,16724,11,383,2,0.0229,29286,17,485,0,0.0166
202129,18-07-2021,16713,22,381,0,0.0228,29269,20,485,0,0.0166
202128,17-07-2021,16691,8,381,1,0.0228,29249,87,485,-1,0.0166
202128,16-07-2021,16683,39,380,0,0.0228,29162,63,486,2,0.0167
202128,15-07-2021,16644,0,380,0,0.0228,29099,91,484,1,0.0166
202128,14-07-2021,16644,36,380,2,0.0228,29008,169,483,4,0.0167
202128,13-07-2021,16608,12,378,1,0.0228,28839,99,479,3,0.0166
202128,12-07-2021,16596,7,377,1,0.0227,28740,5,476,0,0.0166
202128,11-07-2021,16589,27,376,0,0.0227,28735,38,476,0,0.0166
202127,10-07-2021,16562,39,376,1,0.0227,28697,122,476,2,0.0166
202127,09-07-2021,16523,27,375,1,0.0227,28575,98,474,1,0.0166
202127,08-07-2021,16496,43,374,4,0.0227,28477,81,473,0,0.0166
202127,07-07-2021,16453,50,370,0,0.0225,28396,120,473,1,0.0167
202127,06-07-2021,16403,21,370,10,0.0226,28276,118,472,3,0.0167
202127,05-07-2021,16382,19,360,2,0.022,28158,35,469,0,0.0167
202127,04-07-2021,16363,17,358,0,0.0219,28123,53,469,0,0.0167
202126,03-07-2021,16346,41,358,0,0.0219,28070,175,469,2,0.0167
202126,02-07-2021,16305,41,358,1,0.022,27895,127,467,0,0.0167
202126,01-07-2021,16264,47,357,0,0.022,27768,136,467,1,0.0168
202126,30-06-2021,16217,27,357,0,0.022,27632,75,466,2,0.0169
202126,29-06-2021,16190,16,357,1,0.0221,27557,125,464,3,0.0168
202126,28-06-2021,16174,23,356,0,0.022,27432,11,461,1,0.0168
202126,27-06-2021,16151,35,356,1,0.022,27421,7,460,0,0.0168
202125,26-06-2021,16116,22,355,1,0.022,27414,22,460,0,0.0168
202125,25-06-2021,16094,37,354,9,0.022,27392,22,460,1,0.0168
202125,24-06-2021,16057,56,345,2,0.0215,27370,58,459,0,0.0168
202125,23-06-2021,16001,50,343,1,0.0214,27312,126,459,1,0.0168
202125,22-06-2021,15951,35,342,0,0.0214,27186,78,458,2,0.0168
202125,21-06-2021,15916,22,342,1,0.0215,27108,2,456,1,0.0168
202125,20-06-2021,15894,42,341,0,0.0215,27106,16,455,-1,0.0168
202124,19-06-2021,15852,59,341,2,0.0215,27090,105,456,2,0.0168
202124,18-06-2021,15793,61,339,1,0.0215,26985,113,454,2,0.0168
202124,17-06-2021,15732,63,338,5,0.0215,26872,117,452,2,0.0168
202124,16-06-2021,15669,51,333,2,0.0213,26755,107,450,1,0.0168
202124,15-06-2021,15618,21,331,0,0.0212,26648,128,449,5,0.0168
202124,14-06-2021,15597,25,331,1,0.0212,26520,10,444,2,0.0167
202124,13-06-2021,15572,75,330,0,0.0212,26510,20,442,1,0.0167
202123,12-06-2021,15497,79,330,0,0.0213,26490,98,441,3,0.0166
202123,11-06-2021,15418,44,330,5,0.0214,26392,106,438,5,0.0166
202123,10-06-2021,15374,111,325,1,0.0211,26286,117,433,5,0.0165
202123,09-06-2021,15263,28,324,1,0.0212,26169,161,428,2,0.0164
202123,08-06-2021,15235,14,323,0,0.0212,26008,44,426,3,0.0164
202123,07-06-2021,15221,26,323,0,0.0212,25964,22,423,1,0.0163
202123,06-06-2021,15195,38,323,1,0.0213,25942,42,422,3,0.0163
202122,05-06-2021,15157,11,322,0,0.0212,25900,199,419,4,0.0162
202122,04-06-2021,15146,31,322,2,0.0213,25701,22,415,0,0.0161
202122,03-06-2021,15115,38,320,0,0.0212,25679,118,415,10,0.0162
202122,02-06-2021,15077,29,320,4,0.0212,25561,70,405,4,0.0158
202122,01-06-2021,15048,46,316,6,0.021,25491,80,401,6,0.0157
202122,31-05-2021,15002,69,310,3,0.0207,25411,8,395,0,0.0155
202122,30-05-2021,14933,0,307,0,0.0206,25403,33,395,0,0.0155
202121,29-05-2021,14933,25,307,1,0.0206,25370,156,395,0,0.0156
202121,28-05-2021,14908,63,306,0,0.0205,25214,37,395,2,0.0157
202121,27-05-2021,14845,51,306,2,0.0206,25177,125,393,1,0.0156
202121,26-05-2021,14794,54,304,0,0.0205,25052,99,392,4,0.0156
202121,25-05-2021,14740,25,304,2,0.0206,24953,76,388,1,0.0155
202121,24-05-2021,14715,17,302,0,0.0205,24877,66,387,1,0.0156
202121,23-05-2021,14698,28,302,2,0.0205,24811,77,386,0,0.0156
202120,22-05-2021,14670,44,300,1,0.0204,24734,97,386,2,0.0156
202120,21-05-2021,14626,51,299,1,0.0204,24637,173,384,3,0.0156
202120,20-05-2021,14575,31,298,1,0.0204,24464,134,381,2,0.0156
